epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1099.91,1.26414,2.11102,1.28054,0.38912,0.61481,0.46173,0.31684,1.01677,1.36988,1.03059,0.00333254,0.00333254,0.0700071
2,2175.54,1.12402,1.6062,1.14942,0.42489,0.62852,0.49565,0.35203,0.94723,1.32009,1.01177,0.00666425,0.00666425,0.0400055
3,3239.71,1.16644,1.63175,1.17873,0.42703,0.6427,0.49884,0.35525,0.96083,1.29324,1.03476,0.00998944,0.00998944,0.00999735
4,4304.69,1.15625,1.60955,1.17977,0.44525,0.66401,0.5312,0.39463,0.87665,1.22578,1.00003,0.00997803,0.00997803,0.00997803
5,5367.46,1.08896,1.51559,1.14156,0.452,0.69782,0.56154,0.4211,0.84589,1.1754,0.98108,0.00996097,0.00996097,0.00996097
6,6428.62,1.05,1.458,1.11956,0.47161,0.71059,0.58472,0.45115,0.78867,1.13202,0.9605,0.00993906,0.00993906,0.00993906
7,7488.53,1.02207,1.41922,1.10477,0.48456,0.72188,0.59979,0.46412,0.77049,1.10405,0.95341,0.00991232,0.00991232,0.00991232
8,8552.25,1.00315,1.39085,1.09515,0.4941,0.72421,0.60958,0.47924,0.74055,1.07645,0.94476,0.00988079,0.00988079,0.00988079
9,9609.84,0.98543,1.37068,1.08463,0.50247,0.72726,0.61808,0.48822,0.72668,1.06043,0.93964,0.00984449,0.00984449,0.00984449
10,10665.4,0.96981,1.34995,1.07642,0.51172,0.73283,0.62573,0.49671,0.71603,1.04734,0.9357,0.00980345,0.00980345,0.00980345
11,11722.5,0.95998,1.33481,1.07303,0.51386,0.73633,0.63038,0.50323,0.70303,1.03676,0.93232,0.00975773,0.00975773,0.00975773
12,12779.6,0.95107,1.32358,1.06545,0.51408,0.73629,0.6336,0.50708,0.69122,1.02966,0.92893,0.00970736,0.00970736,0.00970736
13,13833.6,0.93965,1.3106,1.06069,0.51623,0.73688,0.6374,0.51155,0.68537,1.02311,0.92659,0.00965239,0.00965239,0.00965239
14,14887.9,0.93281,1.3039,1.05519,0.52287,0.72939,0.63979,0.51451,0.68201,1.01815,0.92544,0.00959289,0.00959289,0.00959289
15,15942.2,0.92918,1.29567,1.0545,0.5235,0.73208,0.64199,0.51645,0.67915,1.01466,0.92427,0.00952889,0.00952889,0.00952889
16,16997.2,0.92194,1.28374,1.05088,0.52381,0.73413,0.64336,0.51828,0.6763,1.01072,0.92341,0.00946048,0.00946048,0.00946048
17,18052.4,0.91662,1.27987,1.04829,0.52348,0.73834,0.64524,0.52049,0.67359,1.00697,0.92227,0.00938772,0.00938772,0.00938772
18,19107.8,0.91011,1.27128,1.04628,0.52507,0.73782,0.6468,0.52205,0.67077,1.00419,0.92118,0.00931067,0.00931067,0.00931067
19,20164.2,0.90698,1.26237,1.04493,0.5275,0.73714,0.6483,0.52403,0.66881,1.00208,0.9209,0.00922942,0.00922942,0.00922942
20,21221.4,0.89976,1.25694,1.0397,0.52819,0.73972,0.64984,0.52591,0.66752,0.9993,0.92035,0.00914405,0.00914405,0.00914405
21,22278,0.89742,1.2527,1.03777,0.53081,0.73913,0.65121,0.52702,0.6661,0.99681,0.9197,0.00905463,0.00905463,0.00905463
22,23338.7,0.89708,1.25044,1.0379,0.53331,0.73656,0.65319,0.5289,0.66495,0.99418,0.91895,0.00896127,0.00896127,0.00896127
23,24398.9,0.89068,1.24772,1.03529,0.53274,0.73955,0.65444,0.5301,0.66388,0.99178,0.91825,0.00886404,0.00886404,0.00886404
24,25460.8,0.88642,1.24203,1.03278,0.53281,0.74066,0.65529,0.53166,0.66201,0.98919,0.91741,0.00876305,0.00876305,0.00876305
25,26521.7,0.88362,1.23732,1.03233,0.53464,0.741,0.65685,0.53305,0.66019,0.98687,0.91664,0.00865839,0.00865839,0.00865839
26,27583,0.87824,1.23224,1.02781,0.53612,0.74324,0.65833,0.53469,0.65823,0.98418,0.91568,0.00855018,0.00855018,0.00855018
27,28645.2,0.87608,1.22859,1.02701,0.53876,0.74104,0.65951,0.53648,0.65642,0.98204,0.9148,0.00843851,0.00843851,0.00843851
28,29708,0.87625,1.21981,1.02772,0.53977,0.74238,0.66085,0.53789,0.65496,0.97974,0.91416,0.00832349,0.00832349,0.00832349
29,30769.4,0.87121,1.21848,1.02312,0.54111,0.74363,0.66197,0.53942,0.65307,0.97723,0.91337,0.00820525,0.00820525,0.00820525
30,31828,0.86752,1.21706,1.02208,0.54455,0.74138,0.66334,0.54092,0.65097,0.97497,0.91225,0.00808389,0.00808389,0.00808389
31,32883.5,0.86478,1.20774,1.02312,0.54606,0.7409,0.66432,0.54217,0.64916,0.97268,0.91161,0.00795954,0.00795954,0.00795954
32,33940.1,0.86323,1.20459,1.02074,0.54796,0.74212,0.66562,0.54353,0.648,0.97035,0.91103,0.00783231,0.00783231,0.00783231
33,34997,0.85939,1.20448,1.01825,0.54896,0.74423,0.66676,0.5453,0.64669,0.96806,0.91038,0.00770234,0.00770234,0.00770234
34,36054.6,0.8541,1.1978,1.01567,0.54961,0.74439,0.66793,0.54639,0.64521,0.96558,0.90976,0.00756976,0.00756976,0.00756976
35,37110.6,0.85375,1.19864,1.01637,0.55052,0.74684,0.66936,0.54773,0.64462,0.96335,0.90952,0.00743468,0.00743468,0.00743468
36,38167.6,0.85059,1.19173,1.01236,0.55076,0.75013,0.67065,0.54913,0.64342,0.96121,0.90897,0.00729725,0.00729725,0.00729725
37,39224.5,0.84841,1.19034,1.01097,0.55351,0.74902,0.67204,0.55057,0.64176,0.95857,0.90829,0.00715761,0.00715761,0.00715761
38,40282.2,0.84592,1.18784,1.0096,0.55582,0.74888,0.67308,0.55194,0.64005,0.9563,0.90748,0.00701588,0.00701588,0.00701588
39,41340.1,0.84426,1.18329,1.01035,0.55798,0.74911,0.67406,0.55302,0.63856,0.95423,0.90693,0.00687222,0.00687222,0.00687222
40,42399.2,0.83956,1.17612,1.00834,0.55848,0.75113,0.67492,0.55401,0.63661,0.95194,0.90624,0.00672675,0.00672675,0.00672675
41,43457.7,0.83796,1.17249,1.00902,0.5579,0.75668,0.67607,0.55538,0.63548,0.94962,0.90573,0.00657963,0.00657963,0.00657963
42,44516.1,0.83495,1.16787,1.00579,0.55865,0.75802,0.67676,0.55629,0.63438,0.94759,0.90514,0.00643101,0.00643101,0.00643101
43,45573.5,0.83193,1.16607,1.00438,0.55919,0.75862,0.67778,0.55732,0.63295,0.94554,0.90432,0.00628101,0.00628101,0.00628101
44,46630.2,0.82836,1.16475,1.00125,0.56215,0.75502,0.67872,0.55838,0.63187,0.94384,0.90359,0.00612981,0.00612981,0.00612981
45,47687.2,0.82743,1.15836,0.99954,0.56158,0.75875,0.67954,0.55959,0.63057,0.94236,0.90279,0.00597754,0.00597754,0.00597754
46,48744.7,0.81912,1.14887,0.9965,0.56464,0.75648,0.68028,0.56063,0.62956,0.94081,0.90207,0.00582435,0.00582435,0.00582435
47,49802.1,0.81598,1.14889,0.99564,0.56567,0.756,0.68111,0.56175,0.62837,0.93912,0.90133,0.0056704,0.0056704,0.0056704
48,50859.2,0.81667,1.14592,0.99501,0.56634,0.7565,0.68152,0.56249,0.6269,0.93735,0.90069,0.00551584,0.00551584,0.00551584
49,51916.7,0.81257,1.14056,0.99387,0.56549,0.75987,0.68267,0.56361,0.62578,0.93564,0.9002,0.00536081,0.00536081,0.00536081
50,52973.1,0.80645,1.13348,0.99166,0.5674,0.76032,0.68329,0.56431,0.62505,0.93393,0.90001,0.00520548,0.00520548,0.00520548
51,54030.6,0.80779,1.13666,0.99125,0.5675,0.76194,0.68396,0.56506,0.62402,0.93249,0.89947,0.00505,0.00505,0.00505
52,55088.9,0.80232,1.12847,0.98881,0.56691,0.76297,0.68493,0.5663,0.62291,0.93095,0.89894,0.00489452,0.00489452,0.00489452
53,56145.1,0.79819,1.12296,0.98567,0.56648,0.76653,0.68559,0.5673,0.62146,0.92929,0.89821,0.00473919,0.00473919,0.00473919
54,57201.8,0.79493,1.11919,0.98506,0.56653,0.76781,0.68664,0.56859,0.62022,0.92732,0.89771,0.00458416,0.00458416,0.00458416
55,58258.7,0.79137,1.11188,0.98309,0.56896,0.76746,0.68735,0.56955,0.61899,0.92578,0.8972,0.0044296,0.0044296,0.0044296
56,59315.8,0.789,1.10946,0.98373,0.56958,0.76866,0.68797,0.57015,0.61834,0.92412,0.89684,0.00427565,0.00427565,0.00427565
57,60373.1,0.78439,1.10473,0.98197,0.57215,0.76622,0.68866,0.57093,0.61721,0.92262,0.89622,0.00412246,0.00412246,0.00412246
58,61431,0.7805,1.10323,0.97802,0.57266,0.76877,0.68962,0.57226,0.61597,0.92094,0.8956,0.00397019,0.00397019,0.00397019
59,62488.3,0.78087,1.09863,0.97774,0.57325,0.76963,0.69023,0.57282,0.6147,0.91924,0.89495,0.00381899,0.00381899,0.00381899
60,63546.6,0.77458,1.09257,0.97455,0.57654,0.76897,0.69073,0.57343,0.61373,0.918,0.89424,0.00366899,0.00366899,0.00366899
61,64604.5,0.77085,1.08833,0.97449,0.57471,0.77275,0.69121,0.5743,0.61272,0.91654,0.89374,0.00352037,0.00352037,0.00352037
62,65663.7,0.76724,1.0856,0.97201,0.57581,0.77129,0.69195,0.57529,0.61185,0.91525,0.89313,0.00337325,0.00337325,0.00337325
63,66720.4,0.76143,1.07051,0.97094,0.57851,0.76688,0.69238,0.57602,0.61107,0.91396,0.89273,0.00322778,0.00322778,0.00322778
64,1053.65,0.751,1.06518,0.9666,0.57882,0.76821,0.69274,0.57634,0.61022,0.91326,0.89249,0.00308412,0.00308412,0.00308412
65,2115.92,0.75246,1.06556,0.96737,0.57935,0.76843,0.69317,0.57675,0.60929,0.91252,0.8921,0.00294239,0.00294239,0.00294239
66,3179.59,0.74828,1.05992,0.96615,0.5797,0.76917,0.69361,0.57742,0.60839,0.91149,0.89173,0.00280275,0.00280275,0.00280275
67,269.823,0.7228,1.03007,0.95499,0.5803,0.76959,0.69382,0.57782,0.60798,0.91128,0.89159,0.00266532,0.00266532,0.00266532
