epoch,train_loss,val_loss
1,1.302705,1.272866
2,1.298057,1.266781
3,1.290602,1.258083
4,1.279611,1.246272
5,1.266051,1.229521
6,1.239891,1.191689
7,1.191330,1.138411
8,1.137848,1.098238
9,1.106185,1.086003
10,1.099951,1.085073
11,1.098398,1.082741
12,1.099327,1.081945
13,1.097810,1.081829
14,1.098275,1.081389
15,1.096964,1.081389
16,1.097534,1.081684
17,1.098045,1.081319
18,1.096892,1.081730
19,1.098086,1.081340
20,1.098551,1.081602
21,1.097363,1.081494
22,1.097319,1.081257
23,1.097101,1.081459
24,1.096913,1.081169
25,1.096342,1.081177
26,1.096189,1.081179
27,1.096086,1.080734
28,1.096069,1.080535
29,1.095384,1.079943
30,1.094311,1.078615
