epoch,train_loss,val_loss
1,0.291866,0.126197
2,0.112525,0.108751
3,0.105922,0.105130
4,0.102507,0.101108
5,0.095147,0.089093
6,0.086828,0.086592
7,0.085403,0.085557
8,0.084522,0.084962
9,0.083971,0.084356
10,0.083539,0.084044
11,0.083122,0.083751
12,0.082800,0.083111
13,0.082384,0.082789
14,0.082030,0.082400
15,0.081441,0.081689
16,0.080856,0.081723
17,0.080108,0.080268
18,0.079149,0.079375
19,0.078244,0.078161
20,0.077484,0.077529
1,0.547031,0.508213
2,0.540527,0.496161
3,0.524269,0.477797
4,0.501584,0.451046
5,0.471391,0.414923
6,0.436665,0.371679
7,0.389318,0.327979
8,0.347597,0.294686
9,0.321291,0.280975
10,0.313138,0.280383
11,0.313610,0.280833
12,0.313168,0.280754
13,0.311514,0.280580
14,0.312043,0.280484
15,0.312387,0.280151
16,0.311560,0.280379
17,0.312644,0.280399
18,0.313552,0.280253
19,0.312537,0.280288
20,0.311442,0.280299
21,0.311420,0.280077
22,0.313265,0.280085
23,0.312549,0.280038
24,0.312087,0.279859
25,0.311256,0.279387
26,0.312674,0.278866
27,0.311205,0.277826
28,0.308083,0.276167
29,0.305545,0.272874
30,0.302911,0.266519
1,0.732449,0.681529
2,0.719127,0.665314
3,0.696048,0.640116
4,0.672422,0.602924
5,0.628011,0.551315
6,0.569538,0.485133
7,0.498877,0.410684
8,0.427412,0.341520
9,0.364192,0.300224
10,0.332295,0.291636
11,0.329651,0.293757
12,0.328179,0.293212
13,0.327153,0.292200
14,0.328279,0.292266
15,0.328812,0.292087
16,0.328148,0.292805
17,0.327967,0.292187
18,0.327936,0.292299
19,0.328499,0.292292
20,0.328343,0.292147
21,0.327715,0.292266
22,0.328852,0.292422
23,0.329506,0.292316
24,0.327832,0.292285
25,0.328106,0.291738
26,0.328988,0.291997
27,0.328022,0.291708
28,0.328724,0.291759
29,0.328067,0.290959
30,0.327751,0.290391
1,1.480416,1.435383
2,1.474098,1.427516
3,1.463606,1.416954
4,1.453644,1.402694
5,1.437873,1.384482
6,1.417663,1.361759
7,1.391527,1.334499
8,1.362397,1.302302
9,1.319071,1.251009
10,1.260456,1.191889
11,1.207865,1.160218
12,1.189260,1.156391
13,1.185857,1.155778
14,1.184551,1.153968
15,1.185063,1.153452
16,1.183648,1.153452
17,1.183862,1.153564
18,1.184283,1.153927
19,1.183290,1.153493
20,1.184736,1.153434
21,1.184892,1.153271
22,1.184268,1.153683
23,1.185324,1.153417
24,1.184515,1.153489
25,1.184830,1.153455
26,1.185722,1.153547
27,1.184141,1.153382
28,1.184747,1.153416
29,1.184776,1.152727
30,1.183369,1.152704
1,1.304421,1.272692
2,1.297637,1.266260
3,1.287312,1.256866
4,1.277592,1.243066
5,1.257610,1.214965
6,1.217076,1.166804
7,1.165103,1.112841
8,1.117691,1.077655
9,1.093650,1.071017
10,1.090197,1.071040
11,1.087391,1.070144
12,1.088200,1.069797
13,1.089622,1.069650
14,1.088380,1.069669
15,1.088612,1.069789
16,1.088676,1.069646
17,1.088175,1.069654
18,1.088834,1.069567
19,1.087877,1.069560
20,1.088657,1.069541
21,1.089695,1.069570
22,1.088052,1.069458
23,1.088781,1.069676
24,1.090562,1.069388
25,1.088181,1.069302
26,1.087738,1.069207
27,1.088318,1.068956
28,1.088019,1.068614
29,1.088236,1.068370
30,1.087262,1.067631
1,1.302705,1.272866
2,1.298057,1.266781
3,1.290602,1.258083
4,1.279611,1.246272
5,1.266051,1.229521
6,1.239891,1.191689
7,1.191330,1.138411
8,1.137848,1.098238
9,1.106185,1.086003
10,1.099951,1.085073
11,1.098398,1.082741
12,1.099327,1.081945
13,1.097810,1.081829
14,1.098275,1.081389
15,1.096964,1.081389
16,1.097534,1.081684
17,1.098045,1.081319
18,1.096892,1.081730
19,1.098086,1.081340
20,1.098551,1.081602
21,1.097363,1.081494
22,1.097319,1.081257
23,1.097101,1.081459
24,1.096913,1.081169
25,1.096342,1.081177
26,1.096189,1.081179
27,1.096086,1.080734
28,1.096069,1.080535
29,1.095384,1.079943
30,1.094311,1.078615
